original_doc_id,entity_text,entity_label,score,start,end,context,has_overlap,Correct
cf844aea-a8f4-4d30-a771-cd35e67779e4,south,LOCATION,0,43,48,identify nature of sediment to [TARGET] of wall. Late Neolithic 1,False,
cf844aea-a8f4-4d30-a771-cd35e67779e4,wall,CONTEXT,0,52,56,of sediment to south of [TARGET] . Late Neolithic 1 pottery,False,
cf844aea-a8f4-4d30-a771-cd35e67779e4,Late Neolithic,PERIOD,0,58,72,sediment to south of wall. [TARGET] 1 pottery found throughout. Context,False,
cf844aea-a8f4-4d30-a771-cd35e67779e4,pottery,ARTEFACT,0,75,82,of wall. Late Neolithic 1 [TARGET] found throughout. Context dug through,False,
cf844aea-a8f4-4d30-a771-cd35e67779e4,context,CONTEXT,0,178,185,into 4th layer that comprised [TARGET] 1009.,False,None
cf844aea-a8f4-4d30-a771-cd35e67779e4,1009,CONTEXT_ID,0,186,190,4th layer that comprised context [TARGET] .,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,629,CONTEXT_ID,0,8,11,Context [TARGET] corresponds to the soil found,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,soil,MATERIAL,0,31,35,Context 629 corresponds to the [TARGET] found between the stones and,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,clay,MATERIAL,0,78,82,the stones and fragments of [TARGET] building material (CBM) that made,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,CBM,MATERIAL,0,102,105,of clay building material ( [TARGET] ) that made up the,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,burial cover,CONTEXT,0,124,136,"(CBM) that made up the [TARGET] , revealed during its removal.",False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,soil,MATERIAL,0,180,184,its removal. Part of this [TARGET] likely belonged to the original,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,c614,CONTEXT_ID,0,224,228,"to the original cover ( [TARGET] , c618, c626), but it",False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,c618,CONTEXT_ID,0,230,234,"to the original cover (c614, [TARGET] , c626), but it may",False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,c626,CONTEXT_ID,0,236,240,"the original cover (c614, c618, [TARGET] ), but it may also",False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,c609,CONTEXT_ID,0,315,319,"from the upper layer ( [TARGET] ). Consequently, it is assumed",False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,soil,MATERIAL,0,381,385,the lower portion of this [TARGET] became mixed with the upper,False,
8e4f4af5-e517-4a8a-ba58-ed227998dc66,c619,CONTEXT_ID,0,443,447,part of the underlying layer [TARGET] .,False,
b47ae9e7-12f6-4bea-b848-daefb48e015f,636,CONTEXT_ID,0,9,12,"""Context [TARGET] corresponds to an occupation layer",False,
b47ae9e7-12f6-4bea-b848-daefb48e015f,c605,ARTEFACT,0,64,68,"an occupation layer located beneath [TARGET] and above c642, revealed in",False,CONTEXT_ID
b47ae9e7-12f6-4bea-b848-daefb48e015f,sondage,PERIOD,0,101,108,"above c642, revealed in the [TARGET] excavated to the northside of",False,None
b47ae9e7-12f6-4bea-b848-daefb48e015f,northside,LOCATION,0,126,135,the sondage excavated to the [TARGET] of wall c601. The extends,False,
b47ae9e7-12f6-4bea-b848-daefb48e015f,wall c601,CONTEXT,0,139,148,excavated to the northside of [TARGET] . The extends to the,True,
b47ae9e7-12f6-4bea-b848-daefb48e015f,c601,CONTEXT_ID,0,144,148,to the northside of wall [TARGET] . The extends to the,True,
b47ae9e7-12f6-4bea-b848-daefb48e015f,c601,CONTEXT,0,177,181,"extends to the base of [TARGET] , where it appears to",True,CONTEXT_ID
b47ae9e7-12f6-4bea-b848-daefb48e015f,c601,CONTEXT_ID,0,177,181,"extends to the base of [TARGET] , where it appears to",True,
b47ae9e7-12f6-4bea-b848-daefb48e015f,c605,ARTEFACT,0,293,297,"very similar to that of [TARGET] , but with fewer limestone",False,CONTEXT_ID
b47ae9e7-12f6-4bea-b848-daefb48e015f,limestone,MATERIAL,0,314,323,"of c605, but with fewer [TARGET] inclusions and a darker greyish-brown",False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,c617,CONTEXT_ID,0,13,17,"""The context [TARGET] corresponds to discrete burnt and",False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,bones,ARTEFACT,0,60,65,to discrete burnt and unburnt [TARGET] (possibly animal bones) found on,False,SPECIES
8b07db17-e391-484a-950e-aa8cfbf36a2f,animal,SPECIES,0,76,82,burnt and unburnt bones (possibly [TARGET] bones) found on stone c624,False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,bones,ARTEFACT,0,83,88,and unburnt bones (possibly animal [TARGET] ) found on stone c624,False,SPECIES
8b07db17-e391-484a-950e-aa8cfbf36a2f,stone,MATERIAL,0,99,104,"(possibly animal bones) found on [TARGET] c624 of the burial cover,",False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,c624,CONTEXT_ID,0,105,109,"animal bones) found on stone [TARGET] of the burial cover, in",False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,burial cover,CONTEXT,0,117,129,"on stone c624 of the [TARGET] , in the central part",False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,grave,CONTEXT,0,158,163,the central part of the [TARGET] . This context is very,False,
8b07db17-e391-484a-950e-aa8cfbf36a2f,c608,CONTEXT_ID,0,205,209,is very similar to context [TARGET] and it is assumed that,False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,ditch,CONTEXT,0,59,64,"the depth of the possible [TARGET] . The eastern side, that",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,eastern side,LOCATION,0,70,82,"of the possible ditch. The [TARGET] , that is closer to",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,limestone,MATERIAL,0,134,143,"natural soil has some white [TARGET] inclusion and yellowish brown spots,",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,Late Neolithic II,PERIOD,0,236,253,"dark greyish brown. Lots of [TARGET] pottery, and some pieces of",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,pottery,ARTEFACT,0,254,261,"Lots of Late Neolithic II [TARGET] , and some pieces of",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,LNI,MATERIAL,0,282,285,"pottery, and some pieces of [TARGET] . Also, shells, a few",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,shells,ARTEFACT,0,293,299,"some pieces of LNI. Also, [TARGET] , a few bones, one",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,bones,ARTEFACT,0,307,312,"LNI. Also, shells, a few [TARGET] , one of which is",False,SPECIES
71e7bdc8-20a5-48da-ad19-1265e16eab35,ground stones,ARTEFACT,0,337,350,"one of which is burnt, [TARGET] and a stone tool. Very",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,stone tool,ARTEFACT,0,357,367,"burnt, ground stones and a [TARGET] . Very few CBM pieces.",False,
71e7bdc8-20a5-48da-ad19-1265e16eab35,CBM,ARTEFACT,0,378,381,"a stone tool. Very few [TARGET] pieces. However, the depth of",True,
71e7bdc8-20a5-48da-ad19-1265e16eab35,CBM,MATERIAL,0,378,381,"a stone tool. Very few [TARGET] pieces. However, the depth of",True,
71e7bdc8-20a5-48da-ad19-1265e16eab35,ditch,CONTEXT,0,425,430,the depth of the possible [TARGET] wasnt reached and the goal,False,
550af4fd-53db-4149-9150-c4d949d56dc0,burial pit,CONTEXT,0,15,25,"The cut of the [TARGET] (F1) was not clearly visible,",False,
550af4fd-53db-4149-9150-c4d949d56dc0,F1,CONTEXT_ID,0,27,29,"of the burial pit ( [TARGET] ) was not clearly visible,",False,
550af4fd-53db-4149-9150-c4d949d56dc0,pit,CONTEXT,0,269,272,layer of the burial. The [TARGET] had been almost entirely reduced,False,
550af4fd-53db-4149-9150-c4d949d56dc0,modern,PERIOD,0,309,315,"been almost entirely reduced by [TARGET] ploughing and excavation, making it",False,
550af4fd-53db-4149-9150-c4d949d56dc0,pit,CONTEXT,0,390,393,"to observe the slopes. The [TARGET] was oval in shape, with",False,
550af4fd-53db-4149-9150-c4d949d56dc0,east,LOCATION,0,468,472,a gentle slope toward the [TARGET] (approximately 3&ndash,4 cm).,None
8c0849f2-fc43-43c0-a78f-c9656636b300,621,CONTEXT_ID,0,8,11,Context [TARGET] corresponds to a small assemblage,False,
8c0849f2-fc43-43c0-a78f-c9656636b300,human,SPECIES,0,49,54,"to a small assemblage of [TARGET] bones blended with loose soil,",False,
